epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,1311.15,0.47887,1.15377,0.19484,0.33695,0.86687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,1348.35,0.4627,1.18376,0.18022,0.33105,0.85513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,1385.54,0.46665,1.11153,0.17075,0.32176,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,1422.93,0.45103,1.11005,0.17764,0.31937,0.8507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,1460.03,0.45608,1.0827,0.1717,0.32451,0.85591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,1496.45,0.45507,1.11851,0.17669,0.32394,0.85755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,1532.82,0.44333,1.08657,0.16624,0.31431,0.84975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,1568.93,0.44037,1.04942,0.1671,0.31075,0.84892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,1605.03,0.42009,0.95468,0.16428,0.30442,0.84701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,1641.26,0.41452,0.95919,0.17136,0.29842,0.84787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,1677.85,0.43924,0.94463,0.15256,0.30638,0.84939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,1714.06,0.43221,0.96455,0.15759,0.30632,0.83804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,1750.61,0.42524,0.96114,0.15116,0.29179,0.84074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,1787.04,0.40523,0.8396,0.14362,0.28752,0.83876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,1823.51,0.43098,0.9606,0.147,0.30142,0.84869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,1860.53,0.40136,0.85874,0.13581,0.28359,0.83679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,1897.77,0.42648,0.96323,0.15037,0.29773,0.84909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,1935.13,0.41521,0.90014,0.15791,0.29148,0.85209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,1972.19,0.42218,0.88843,0.15051,0.29261,0.84905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,2008.52,0.40677,0.91111,0.1505,0.28538,0.84419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,2044.53,0.38588,0.85683,0.13866,0.28134,0.82811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,2080.84,0.39274,0.79954,0.13365,0.28264,0.83015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,2116.92,0.40818,0.79405,0.13442,0.28776,0.8401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,2152.98,0.41032,0.85244,0.13234,0.29119,0.83469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,2189.32,0.40564,0.78529,0.12902,0.28513,0.83906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,2225.44,0.41176,0.82971,0.13605,0.28749,0.83709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,2261.88,0.39453,0.84298,0.13524,0.27821,0.84196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,2298.73,0.38585,0.80836,0.12454,0.27195,0.83355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,2336.02,0.37097,0.74706,0.12896,0.26674,0.82586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,2373.43,0.37914,0.77598,0.1285,0.26495,0.83076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,2410.2,0.38391,0.80154,0.1216,0.26527,0.82731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,2446.15,0.38037,0.73898,0.12377,0.26117,0.82992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,2481.79,0.37352,0.74938,0.11813,0.26318,0.83099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,2517.67,0.37108,0.71656,0.10728,0.26049,0.82919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,2554.02,0.37956,0.72642,0.13126,0.26577,0.83478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,2589.69,0.37624,0.72011,0.11396,0.2628,0.82706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,2625.29,0.38389,0.75108,0.11904,0.27229,0.82914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,2661.45,0.37921,0.76696,0.11794,0.26593,0.83178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,2697.45,0.37146,0.70215,0.12046,0.25874,0.83432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,2733.67,0.35172,0.64824,0.10724,0.25045,0.82625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
