epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,6753.77,0.56941,5.10856,0.2982,0.3246,0.96845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6954.6,0.56351,5.07665,0.29534,0.32483,0.96645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7155.83,0.55824,5.02469,0.29278,0.32254,0.96359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7357.14,0.55868,5.02045,0.29092,0.32019,0.96381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7558.38,0.56216,5.05717,0.28914,0.32564,0.9666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7759.54,0.555,5.01395,0.2839,0.31962,0.96141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7960.78,0.54672,4.96889,0.28277,0.31708,0.96071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8161.72,0.55061,4.91607,0.27855,0.31438,0.95887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8363.11,0.54616,4.92796,0.27843,0.31597,0.96249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8564.71,0.54707,4.95364,0.27874,0.31345,0.96069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8766.14,0.5443,4.84938,0.27115,0.3084,0.95825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8967.23,0.5389,4.85564,0.27237,0.30908,0.95552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9168.57,0.53683,4.81535,0.26755,0.30657,0.95395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9369.69,0.53454,4.84173,0.26713,0.30897,0.95461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9571.86,0.53445,4.80079,0.26853,0.3025,0.9568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9773.93,0.53013,4.739,0.26144,0.30299,0.95471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9975.51,0.52786,4.76519,0.26085,0.30027,0.94953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10177.5,0.52591,4.76058,0.25944,0.29874,0.95213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10380.2,0.52209,4.70755,0.25618,0.29719,0.94768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10581.7,0.52722,4.73536,0.25576,0.29998,0.95196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10784.3,0.5212,4.68402,0.25264,0.2962,0.9488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10985.7,0.52344,4.69004,0.25049,0.2926,0.94791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11186.4,0.51483,4.63158,0.2494,0.29013,0.94651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11387.4,0.51681,4.65065,0.24584,0.28967,0.94787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11588.7,0.51565,4.61629,0.24431,0.28971,0.94533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11790,0.50758,4.57451,0.24421,0.28704,0.94185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11990.7,0.51069,4.59629,0.24309,0.28705,0.94736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12191.6,0.50568,4.53549,0.24182,0.28441,0.94198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12392.2,0.50634,4.59093,0.23848,0.28685,0.94322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12593,0.50863,4.56492,0.23716,0.28673,0.9426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12793.5,0.50018,4.53205,0.23719,0.28442,0.93796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12994.8,0.49936,4.51212,0.23774,0.28154,0.94024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,13195.8,0.49858,4.53216,0.23314,0.28265,0.93988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13396.5,0.49365,4.47932,0.23304,0.27714,0.93905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13597,0.49662,4.4981,0.22706,0.27695,0.93863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13797.8,0.49283,4.46868,0.23123,0.277,0.93896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13998.6,0.48805,4.43634,0.22663,0.27699,0.93472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,14199.8,0.48884,4.43031,0.22628,0.27232,0.93679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14400.6,0.48822,4.42639,0.22383,0.27399,0.93586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14601.5,0.48543,4.39874,0.22176,0.2704,0.93189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14802.6,0.4823,4.37126,0.22293,0.26858,0.93371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15003.3,0.48042,4.32565,0.21982,0.26565,0.93353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15204.2,0.47681,4.34064,0.21699,0.26471,0.9322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15405.4,0.47765,4.34925,0.21738,0.26525,0.93457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15606.4,0.47418,4.28986,0.21333,0.26459,0.93041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15807.2,0.47428,4.30749,0.21361,0.26344,0.93177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16008.1,0.47095,4.26642,0.20994,0.25982,0.92922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16208.7,0.4676,4.23363,0.20617,0.25898,0.92714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16409.1,0.4627,4.2483,0.20782,0.25904,0.92636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16610.1,0.46433,4.23553,0.20693,0.26153,0.9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16810.9,0.46484,4.20453,0.20203,0.2568,0.9256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17011.8,0.46082,4.2029,0.20112,0.25631,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17212.7,0.4599,4.1703,0.19963,0.25591,0.92535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17413.3,0.45398,4.1757,0.19969,0.25064,0.9235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,17614.3,0.45717,4.13036,0.19551,0.25293,0.92296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17815.4,0.45302,4.13796,0.19527,0.25233,0.9261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18016.5,0.4482,4.08456,0.19408,0.2474,0.9204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18217.5,0.44816,4.08981,0.19005,0.24528,0.92285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18408.8,0.35725,2.01631,0.04664,0.18179,0.85248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18599.9,0.35284,1.99132,0.04102,0.17732,0.85032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18791.1,0.34809,1.96084,0.03777,0.17384,0.84763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18982.2,0.34421,1.94744,0.03615,0.17283,0.84601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19173.6,0.3406,1.92602,0.03443,0.17014,0.83965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19365,0.33695,1.91282,0.03284,0.16767,0.84393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19555.6,0.33501,1.90133,0.03252,0.16725,0.84233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19747.1,0.33222,1.88974,0.03162,0.16861,0.8392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19938.4,0.32941,1.87564,0.03029,0.16324,0.83864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20161.1,0.32636,1.86732,0.03037,0.16235,0.83721,0.99426,0.99658,0.99348,0.92066,0.97208,0.97331,0.97075,0.44928,0.41992,2.14831,0.0289,0.17794,0.88296,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
