epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,279.176,0.94928,11.4722,0.59693,0.72576,1.26105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999282,0.00333094,0.00999282,0.00333094,0.00999282,0.00333094,0.00999282,0.00333094
2,498.122,0.75044,9.94667,0.53632,0.4567,1.0706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197949,0.0065983,0.0197949,0.0065983,0.0197949,0.0065983,0.0197949,0.0065983
3,700.382,0.76885,9.23777,0.52521,0.47726,1.07182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029399,0.00979965,0.029399,0.00979965,0.029399,0.00979965,0.029399,0.00979965
4,910.667,0.76754,8.40982,0.51027,0.48246,1.07119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1117.55,0.74201,7.74421,0.4954,0.46013,1.05824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1319.22,0.72645,7.28909,0.47083,0.44583,1.04871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1521.05,0.69921,6.91652,0.45275,0.42576,1.03476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1722.48,0.69449,6.68764,0.43435,0.41593,1.02734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1923.6,0.6764,6.47087,0.42288,0.40355,1.01995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2124.84,0.66567,6.29426,0.41321,0.3964,1.0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2326.49,0.65983,6.16044,0.40331,0.39695,1.01289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2528.52,0.66022,6.08809,0.39285,0.39081,1.00888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2730.35,0.64554,5.96347,0.37962,0.38273,1.00432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2932.73,0.6403,5.89641,0.37693,0.37973,1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3135.22,0.63105,5.77761,0.37138,0.36999,0.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3336.28,0.63134,5.74551,0.3602,0.37228,0.99833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3537.47,0.61939,5.64384,0.35751,0.3634,0.99024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3738.47,0.62253,5.65824,0.35257,0.3706,0.99105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3939.69,0.60726,5.50497,0.35071,0.35882,0.98284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4141.23,0.60557,5.5031,0.34613,0.35675,0.98392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4342.22,0.60367,5.44104,0.34082,0.35224,0.98896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4543.07,0.59935,5.42754,0.33526,0.35337,0.98366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4744.1,0.60045,5.42991,0.33342,0.35061,0.98211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4944.74,0.58966,5.30299,0.32713,0.34727,0.97537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5145.82,0.59199,5.33961,0.32047,0.34152,0.97922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5347.24,0.59094,5.33497,0.32352,0.34625,0.97646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5548.59,0.5848,5.27381,0.31896,0.34008,0.97802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5749.68,0.57557,5.18203,0.31298,0.33303,0.97174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5950.71,0.57211,5.18151,0.31121,0.33147,0.9687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6151.05,0.57458,5.17451,0.30686,0.33508,0.97387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6351.77,0.57295,5.16251,0.30634,0.33234,0.96994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6552.84,0.56178,5.07754,0.30444,0.32516,0.96505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
