epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6193.49,0.92647,0.62215,1.07256,0.909,0.88431,0.93269,0.7142,0.91127,0.52096,1.10909,0.007921,0.007921,0.007921
44,6337.78,0.9204,0.61825,1.06705,0.90757,0.88583,0.93261,0.71418,0.91157,0.52001,1.10907,0.0078715,0.0078715,0.0078715
45,6481.17,0.92139,0.61475,1.06655,0.90555,0.88673,0.93246,0.71398,0.91215,0.51952,1.10962,0.007822,0.007822,0.007822
46,6624.89,0.91976,0.6204,1.06798,0.90724,0.88738,0.93292,0.71433,0.91187,0.51852,1.10926,0.0077725,0.0077725,0.0077725
47,6768.54,0.91588,0.61574,1.06652,0.90816,0.88444,0.93278,0.71506,0.91087,0.51794,1.10868,0.007723,0.007723,0.007723
48,6911.83,0.91233,0.61004,1.0639,0.90849,0.88227,0.933,0.71528,0.91066,0.51683,1.10836,0.0076735,0.0076735,0.0076735
49,7055.39,0.9143,0.61111,1.06541,0.90661,0.88385,0.93338,0.71614,0.91025,0.5155,1.10821,0.007624,0.007624,0.007624
50,7198.96,0.91187,0.60926,1.06455,0.91458,0.87787,0.9341,0.71661,0.91018,0.51459,1.10814,0.0075745,0.0075745,0.0075745
51,7342.69,0.91148,0.60966,1.06412,0.91104,0.87968,0.93362,0.71704,0.90978,0.51381,1.10782,0.007525,0.007525,0.007525
52,7486.07,0.9087,0.608,1.05964,0.9128,0.87896,0.93251,0.71757,0.90875,0.51349,1.10697,0.0074755,0.0074755,0.0074755
53,7629.57,0.9053,0.60334,1.06022,0.91445,0.87703,0.93231,0.71722,0.90865,0.51265,1.10664,0.007426,0.007426,0.007426
54,7772.88,0.90267,0.60024,1.05752,0.91567,0.87575,0.93252,0.71776,0.90859,0.51209,1.10649,0.0073765,0.0073765,0.0073765
55,7916.51,0.90351,0.59704,1.05795,0.91634,0.87538,0.93261,0.71704,0.90851,0.51121,1.10635,0.007327,0.007327,0.007327
56,8060.17,0.9033,0.59548,1.05693,0.91498,0.87685,0.93224,0.7167,0.90855,0.51055,1.10645,0.0072775,0.0072775,0.0072775
57,8204.15,0.90542,0.59973,1.05866,0.91513,0.87629,0.93232,0.71618,0.90803,0.51006,1.10591,0.007228,0.007228,0.007228
58,8347.93,0.90009,0.59425,1.05642,0.91359,0.87724,0.93235,0.71653,0.90801,0.50937,1.10598,0.0071785,0.0071785,0.0071785
59,8491.34,0.89741,0.59501,1.05544,0.91449,0.87683,0.93214,0.71668,0.90762,0.50847,1.1059,0.007129,0.007129,0.007129
60,8635.17,0.89573,0.58846,1.05566,0.91706,0.87689,0.93225,0.71735,0.90747,0.50785,1.10551,0.0070795,0.0070795,0.0070795
61,8778.46,0.9002,0.59557,1.05489,0.91734,0.87452,0.93099,0.71718,0.90733,0.50728,1.10536,0.00703,0.00703,0.00703
62,8922.3,0.89226,0.58768,1.05343,0.9133,0.87993,0.9306,0.71719,0.90733,0.50639,1.10537,0.0069805,0.0069805,0.0069805
63,9065.72,0.89776,0.59107,1.05636,0.91204,0.87919,0.93076,0.71786,0.90717,0.50618,1.10485,0.006931,0.006931,0.006931
64,9209.51,0.88893,0.58232,1.05028,0.91137,0.87865,0.93189,0.71807,0.90755,0.5056,1.10537,0.0068815,0.0068815,0.0068815
65,9353.18,0.88702,0.58022,1.05041,0.91174,0.87742,0.93034,0.71845,0.90739,0.50456,1.1054,0.006832,0.006832,0.006832
66,9496.85,0.88402,0.57785,1.0474,0.90442,0.88641,0.93191,0.71871,0.90754,0.50453,1.1055,0.0067825,0.0067825,0.0067825
67,9640.43,0.88575,0.57875,1.05044,0.9054,0.88663,0.93311,0.71788,0.90787,0.50423,1.10608,0.006733,0.006733,0.006733
68,9783.98,0.8837,0.57598,1.04704,0.90459,0.88611,0.93311,0.71916,0.9079,0.50414,1.10658,0.0066835,0.0066835,0.0066835
69,9927.63,0.88287,0.57748,1.04784,0.90651,0.88623,0.93328,0.72001,0.90767,0.50397,1.10676,0.006634,0.006634,0.006634
70,10071.5,0.87999,0.57257,1.04667,0.90589,0.8877,0.93344,0.72057,0.9067,0.50397,1.10595,0.0065845,0.0065845,0.0065845
71,10215.2,0.88314,0.57754,1.04816,0.90649,0.88641,0.93387,0.72042,0.90638,0.50357,1.1062,0.006535,0.006535,0.006535
72,10358.7,0.8779,0.56902,1.04209,0.90668,0.88601,0.93363,0.72117,0.90562,0.50396,1.10579,0.0064855,0.0064855,0.0064855
73,10502.2,0.8781,0.56974,1.04638,0.90867,0.8853,0.93289,0.72065,0.90414,0.50451,1.10483,0.006436,0.006436,0.006436
74,10646.5,0.87718,0.56816,1.04418,0.90767,0.88617,0.93278,0.72053,0.90394,0.50428,1.10462,0.0063865,0.0063865,0.0063865
75,10790.3,0.87206,0.56787,1.04394,0.91573,0.87863,0.93311,0.72118,0.90384,0.50414,1.10471,0.006337,0.006337,0.006337
76,10934.5,0.87357,0.56285,1.04135,0.91647,0.87843,0.93335,0.72191,0.90341,0.50319,1.10441,0.0062875,0.0062875,0.0062875
77,11077.8,0.87174,0.56621,1.04178,0.9149,0.87904,0.93305,0.72283,0.90331,0.50305,1.10439,0.006238,0.006238,0.006238
78,11221.3,0.87127,0.56695,1.04097,0.9133,0.88197,0.93281,0.72304,0.90268,0.50299,1.10414,0.0061885,0.0061885,0.0061885
79,11364.9,0.86883,0.56132,1.03966,0.91791,0.87856,0.9331,0.7222,0.90307,0.50348,1.1045,0.006139,0.006139,0.006139
80,11507.9,0.86815,0.55888,1.03952,0.91649,0.87765,0.93297,0.7219,0.90386,0.50303,1.10481,0.0060895,0.0060895,0.0060895
81,11651.1,0.86782,0.56152,1.04015,0.9122,0.88415,0.93329,0.72139,0.9034,0.50287,1.10502,0.00604,0.00604,0.00604
82,11794.2,0.86066,0.55545,1.03498,0.91189,0.88372,0.93276,0.72235,0.90321,0.50283,1.10472,0.0059905,0.0059905,0.0059905
83,11937.5,0.86551,0.55506,1.03914,0.91889,0.87684,0.93295,0.72243,0.90293,0.50281,1.1042,0.005941,0.005941,0.005941
84,12080.9,0.86316,0.55594,1.03475,0.91875,0.87724,0.933,0.72262,0.90301,0.50289,1.10439,0.0058915,0.0058915,0.0058915
85,12224.7,0.85908,0.55319,1.0371,0.91822,0.87744,0.9328,0.72383,0.90248,0.50268,1.10402,0.005842,0.005842,0.005842
86,12368.4,0.85902,0.5544,1.03524,0.91649,0.87823,0.93283,0.72408,0.90276,0.50215,1.10442,0.0057925,0.0057925,0.0057925
87,12512.2,0.85713,0.55448,1.03538,0.91378,0.87994,0.93292,0.72369,0.9025,0.50197,1.10457,0.005743,0.005743,0.005743
88,12655.7,0.85271,0.55008,1.03103,0.9141,0.88027,0.93274,0.72331,0.90275,0.50189,1.10492,0.0056935,0.0056935,0.0056935
